siteID_,areaCoverage_
TAR3,93.6316
IHR20,87.975
NFE3,82.7262
LMC17,78.1803
KAP1,73.8266
ASK5,69.6492
FEV11,65.5015
RGR15,61.5972
FRC3,57.9756
CLC4,54.4823
HOC25,51.2092
SWC18,48.0692
LOR17,45.0019
16_MFM_107_N1,42.2285
KLM25,39.5862
PCL3,36.9757
CAN68,34.6664
WPV2,32.3757
16_CTA_27_N1,30.2256
13_VFC_4_N2,28.1868
MED1,26.2351
SGR4,24.3372
16_FPA_26_N1,22.4987
16_VAL_15_N1,20.8215
AWP26,19.1904
ORO20,17.6583
STB18,16.2352
RFA12,14.8649
16_DCR_9_N1,13.6356
16_OSO_3_N1,12.4073
16_ICY_903_N1,11.2042
EAF3,10.021
LCC3,8.9195
