sampleID,decimalLatitude,decimalLongitude
QUAC_W_SH_Q1850,34.386268,-94.059931
QUAC_W_SH_Q1854,34.386243,-94.060922
QUAC_W_SH_Q1856,34.386376,-94.060871
QUAC_W_SH_Q1862,34.386334,-94.064292
QUAC_W_SH_Q1865,34.386366,-94.064098
QUAC_W_SH_Q1866,34.386301,-94.063909
QUAC_W_SH_Q1868,34.386175,-94.063834
QUAC_W_SH_Q1869,34.386208,-94.063694
QUAC_W_SH_Q1870,34.386329,-94.063549
QUAC_W_SH_Q1871,34.386592,-94.063277
QUAC_W_SH_Q1872,34.386733,-94.063141
QUAC_W_SH_Q1873,34.386651,-94.06292
QUAC_W_SH_Q1874,34.386525,-94.062636
QUAC_W_SH_Q1875,34.386443,-94.062355
QUAC_W_SH_Q1876,34.386343,-94.062209
QUAC_W_SH_Q1877,34.386354,-94.062078
QUAC_W_SH_Q1878,34.38619,-94.062014
QUAC_W_SH_Q1879,34.386144,-94.062198
QUAC_W_SH_Q1880,34.386083,-94.06234
QUAC_W_SH_Q1881,34.386097,-94.062511
QUAC_W_SH_Q1882,34.386097,-94.062667
QUAC_W_SH_Q1885,34.385857,-94.0629
QUAC_W_SH_Q1886,34.385961,-94.063009
QUAC_W_SH_Q2001,34.386329,-94.062961
QUAC_W_SH_Q2002,34.386102,-94.06128
QUAC_W_SH_Q2003,35.171192,-93.652557
QUAC_W_SH_Q2006,35.171127,-93.652659
QUAC_W_SH_Q2007,35.171321,-93.6527
QUAC_W_SH_Q2008,35.171176,-93.652799
QUAC_W_SH_Q2050,35.171653,-93.653687
QUAC_W_SH_Q2051,35.171154,-93.655547
QUAC_W_SH_Q2055,35.171406,-93.655947
QUAC_W_SH_Q2056,35.171519,-93.656043
QUAC_W_SH_Q2057,35.171572,-93.655945
QUAC_W_SH_Q2058,35.171623,-93.65576
QUAC_W_SH_Q2059,35.171076,-93.652965
QUAC_W_SH_Q2060,35.166999,-93.666787
QUAC_W_SH_Q2061,35.167104,-93.666545
QUAC_W_SH_Q2062,35.167155,-93.666372
QUAC_W_SH_Q2063,35.167014,-93.666261
QUAC_W_SH_Q2064,35.166792,-93.666462
QUAC_W_SH_Q2066,35.16719,-93.666103
QUAC_W_SH_Q2068,35.167235,-93.665782
QUAC_W_SH_Q2070,35.167212,-93.665519
QUAC_W_SH_Q2071,35.167775,-93.665622
QUAC_W_SH_Q2073,35.167904,-93.666006
QUAC_W_SH_Q2074,35.167728,-93.666083
QUAC_W_SH_Q2076,35.167621,-93.666237
QUAC_W_SH_Q2078,34.361186,-93.871354
QUAC_W_SH_Q2080,34.361124,-93.871564
QUAC_W_SH_Q2082,34.361166,-93.871794
QUAC_W_SH_Q2084,34.361082,-93.871887
QUAC_W_SH_Q2086,34.361115,-93.872001
QUAC_W_SH_Q2088,34.361127,-93.872157
QUAC_W_SH_Q2090,34.361184,-93.872334
QUAC_W_SH_Q2091,34.361256,-93.872814
QUAC_W_SH_Q2092,34.361151,-93.873153
QUAC_W_SH_Q2093,34.361182,-93.87357
QUAC_W_SH_Q2094,34.361176,-93.872559
QUAC_W_SH_Q2096,34.361299,-93.872573
QUAC_W_SH_Q2100,34.361154,-93.87207
QUAC_W_SH_Q2101,34.361215,-93.871964
QUAC_W_SH_Q2105,34.361256,-93.871771
QUAC_W_SH_Q2108,34.361223,-93.871473
QUAC_W_SH_Q2111,34.36134,-93.871819
QUAC_W_SH_Q2113,35.073043,-94.37327
QUAC_W_SH_Q2114,35.072995,-94.373168
QUAC_W_SH_Q2115,35.072819,-94.373079
QUAC_W_SH_Q2117,35.072397,-94.372773
QUAC_W_SH_Q2118,35.072641,-94.372789
QUAC_W_SH_Q2119,35.072733,-94.37245
QUAC_W_SH_Q2120,35.073096,-94.372182
QUAC_W_SH_Q2121,35.073191,-94.371927
QUAC_W_SH_Q2122,35.072225,-94.37231
QUAC_W_SH_Q2123,35.072356,-94.372201
QUAC_W_SH_Q2124,35.072567,-94.372063
QUAC_W_SH_Q2125,35.072837,-94.371806
QUAC_W_SH_Q2126,35.073183,-94.371635
QUAC_W_SH_Q2127,35.073414,-94.371754
QUAC_W_SH_Q2135,35.074348,-94.373094
QUAC_W_SH_Q2136,35.073969,-94.372919
QUAC_W_SH_Q2142,35.073984,-94.373086
QUAC_W_SH_Q2147,35.073835,-94.374003
QUAC_W_SH_Q2151,35.073329,-94.373378
QUAC_W_SH_Q2152,35.073233,-94.3732
QUAC_W_SH_Q2153,35.073179,-94.372781
QUAC_W_SH_Q2155,35.073302,-94.372378
QUAC_W_SH_Q2157,35.073476,-94.372132
QUAC_W_SH_Q2158,35.07359,-94.371994
QUAC_W_SH_Q2161,35.073695,-94.372346
QUAC_W_SH_Q2163,35.073579,-94.372771
